Food,FOODON ID,Preferred Name,FoodEx_IRI,foodex_embed_avail
Salsa,http://purl.obolibrary.org/obo/FOODON_03544127,salsa (efsa foodex2),A045M,True
Sapodilla,http://purl.obolibrary.org/obo/FOODON_03541766,sapodillas (efsa foodex2),A01KT,True
Sardine,http://purl.obolibrary.org/obo/FOODON_03542402,sardines and sardine-type fishes (efsa foodex2),A02DA,True
Sausage,http://purl.obolibrary.org/obo/FOODON_03542143,sausages (efsa foodex2),A024F,True
Scallops,http://purl.obolibrary.org/obo/FOODON_03542538,"scallops, pectens (efsa foodex2)",A02HN,True
Seaweed,http://purl.obolibrary.org/obo/FOODON_03540759,algae and prokaryotes organisms (efsa foodex2),A00VA,True
Seed,http://purl.obolibrary.org/obo/FOODON_03541177,oilseeds (efsa foodex2),A015F,True
Seitan,http://purl.obolibrary.org/obo/FOODON_03544161,gluten (efsa foodex2),A16GN,False
Shortening,http://purl.obolibrary.org/obo/FOODON_03543156,shortening and similar baking fats (efsa foodex2),A039G,True
Shrimp,http://purl.obolibrary.org/obo/FOODON_03542515,"shrimps, common (efsa foodex2)",A02GB,True
Single cream,http://purl.obolibrary.org/obo/FOODON_03542680,cream and cream products (efsa foodex2),A02MK,True
Sourdough,http://purl.obolibrary.org/obo/FOODON_03544457,sourdough starter (efsa foodex2),A05QQ,True
Soured cream,http://purl.obolibrary.org/obo/FOODON_03542716,"sour cream, plain (efsa foodex2)",A02NB,True
Soya milk,http://purl.obolibrary.org/obo/FOODON_03543832,soya drink (efsa foodex2),A03TJ,True
Soya mince,http://purl.obolibrary.org/obo/FOODON_03544157,soya proteins (efsa foodex2),A01BG,True
Spinach,http://purl.obolibrary.org/obo/FOODON_03540421,spinaches (efsa foodex2),A00MJ,True
Spring green,http://purl.obolibrary.org/obo/FOODON_03540359,leafy vegetables (efsa foodex2),A00KR,True
Spring onion,http://purl.obolibrary.org/obo/FOODON_03540589,spring onions (efsa foodex2),A00HH,True
Squash,http://purl.obolibrary.org/obo/FOODON_03540698,butternut squashes (efsa foodex2),A0DLT,True
Stilton,http://purl.obolibrary.org/obo/FOODON_03542918,"cheese, stilton (efsa foodex2)",A030M,True
Sunflower oil,http://purl.obolibrary.org/obo/FOODON_03543106,"sunflower seed oil, edible (efsa foodex2)",A037D,True
Sweet potato,http://purl.obolibrary.org/obo/FOODON_03540976,sweet potatoes (efsa foodex2),A010C,True
Sword bean,http://purl.obolibrary.org/obo/FOODON_03540606,sword bean (young pods) (efsa foodex2),A00PS,True
Tahini,http://purl.obolibrary.org/obo/FOODON_03541414,sesame paste (tahini) (sesamus indicum) (efsa foodex2),A01BM,True
Tannia,http://purl.obolibrary.org/obo/FOODON_03540974,tannias (efsa foodex2),A010A,True
Tempeh,http://purl.obolibrary.org/obo/FOODON_03543829,tempeh (all types) (efsa foodex2),A16RC,False
Tigernut,http://purl.obolibrary.org/obo/FOODON_03540741,,A00QZ,True
Tofu,http://purl.obolibrary.org/obo/FOODON_03543841,tofu (efsa foodex2),A03TT,True
Tomato,http://purl.obolibrary.org/obo/FOODON_03540633,tomatoes (efsa foodex2),A0DMX,True
Tomato ketchup,http://purl.obolibrary.org/obo/FOODON_03544118,tomato ketchup and related sauces (efsa foodex2),A044P,True
Tomato puree,http://purl.obolibrary.org/obo/FOODON_03540936,tomato puree (efsa foodex2),A00ZD,True
Tomato sauce,http://purl.obolibrary.org/obo/FOODON_03544098,tomato-containing cooked sauces (efsa foodex2),A044C,True
Truffles,http://purl.obolibrary.org/obo/FOODON_03540812,truffles (efsa foodex2),A00TJ,True
Tuna,http://purl.obolibrary.org/obo/FOODON_03542417,tuna (efsa foodex2),A02DX,True
Turbot,http://purl.obolibrary.org/obo/FOODON_03542342,turbot (efsa foodex2),A02BG,True
Turkey,http://purl.obolibrary.org/obo/FOODON_03541967,turkey fresh meat (efsa foodex2),A01SQ,True
Vanilla,http://purl.obolibrary.org/obo/FOODON_03544401,vanilla flavour (efsa foodex2),A06VS,True
Veal,http://purl.obolibrary.org/obo/FOODON_03541917,calf fresh meat (efsa foodex2),A01QY,True
Vegetable oil,http://purl.obolibrary.org/obo/FOODON_03543093,"vegetable fats and oils, edible (efsa foodex2)",A036N,True
Vegetable stock,http://purl.obolibrary.org/obo/FOODON_03544076,"stock cubes or granulate, vegetables (efsa foodex2)",A043J,True
Vegetable stock cube,http://purl.obolibrary.org/obo/FOODON_03544076,"stock cubes or granulate, vegetables (efsa foodex2)",A043J,True
Venison,http://purl.obolibrary.org/obo/FOODON_03541946,deer fresh meat (efsa foodex2),A01SA,True
Vine leaves,http://purl.obolibrary.org/obo/FOODON_03540454,grape leaves (efsa foodex2),A00NB,True
Wensleydale,http://purl.obolibrary.org/obo/FOODON_03542864,"cheese, wensleydale (efsa foodex2)",A02YC,True
Wheat flour,http://purl.obolibrary.org/obo/FOODON_03540088,wheat flour (efsa foodex2),A003X,True
Wheat noodle,http://purl.obolibrary.org/obo/FOODON_03540197,asian-style noodles other than glass noodles (efsa foodex2),A007R,True
White fish,http://purl.obolibrary.org/obo/FOODON_03542316,whitefishes or coregonus (efsa foodex2),A029Q,True
White rice,http://purl.obolibrary.org/obo/FOODON_03540043,"rice grain, polished (efsa foodex2)",A003D,True
Whitecurrant,http://purl.obolibrary.org/obo/FOODON_03541606,"currants (black, red and white) (efsa foodex2)",A01FM,True
Wild rice,http://purl.obolibrary.org/obo/FOODON_03540048,indian rice grain (efsa foodex2),A001J,True
Wine,http://purl.obolibrary.org/obo/FOODON_03543348,wine and wine-like drinks (efsa foodex2),A03MS,True
Yam,http://purl.obolibrary.org/obo/FOODON_03540978,yams (efsa foodex2),A010D,True
Yeast extract,http://purl.obolibrary.org/obo/FOODON_03544084,yeast extract (efsa foodex2),A043P,True
Yogurt,http://purl.obolibrary.org/obo/FOODON_03542693,yoghurt (efsa foodex2),A02NE,True
